dosage_form,extraction_steps,api_stability,target_concentration,hist_rsd_precision,hist_r2_linearity,hist_recovery_accuracy,system_suitability_tailing,system_suitability_resolution,elution_type,run_time_minutes,full_validation_required
api_powder,2,6.3,0.906,0.31,0.99998,100.15,1.07,1.71,isocratic,16.3,0
api_powder,4,1.3,0.616,0.444,0.99999,99.72,1.3,2.24,isocratic,6.7,0
coated_tablet,2,9.3,0.46,0.559,0.999149,99.67,0.91,1.22,isocratic,20.7,0
api_powder,1,6.2,1.652,1.78,0.99999,101.29,1.47,2.01,isocratic,11.4,0
cream,3,4.4,0.848,1.043,0.999485,100.01,1.16,2.62,gradient,11.4,0
suspension,0,8.0,0.393,2.101,0.999869,100.03,1.45,1.91,gradient,6.6,1
coated_tablet,2,1.4,0.8,0.483,0.997238,98.44,0.94,2.31,isocratic,8.2,0
api_powder,1,1.9,3.972,1.131,0.999776,100.58,1.3,2.87,gradient,5.8,0
api_powder,1,4.1,0.7,0.5,0.999805,100.54,0.8,2.41,isocratic,10.5,0
suspension,3,4.1,5.33,1.205,0.999027,100.39,1.36,2.02,isocratic,19.6,0
api_powder,3,8.7,1.474,0.432,0.999725,101.52,1.7,2.64,gradient,6.4,1
cream,2,2.1,1.01,1.081,0.993639,98.86,1.17,2.11,isocratic,10.0,0
api_powder,2,4.5,1.164,0.184,0.998885,101.34,1.47,3.13,isocratic,13.7,0
cream,2,5.7,1.761,0.371,0.999796,100.17,1.63,2.59,gradient,13.4,0
coated_tablet,3,2.4,0.661,0.48,0.999695,101.65,0.8,1.76,gradient,8.5,0
coated_tablet,3,9.6,1.448,0.642,0.999903,98.47,0.8,1.93,gradient,52.0,1
coated_tablet,3,2.2,0.76,1.776,0.99986,99.86,0.98,3.07,isocratic,15.2,0
cream,2,5.0,3.597,0.928,0.99999,99.6,1.05,3.01,isocratic,17.3,0
api_powder,2,5.2,0.464,1.252,0.99999,99.9,1.34,2.74,gradient,6.2,0
api_powder,0,2.0,1.62,0.561,1.0,99.55,0.8,2.26,isocratic,6.7,0
cream,3,6.7,1.606,1.299,0.998712,100.0,0.86,1.66,gradient,7.0,1
cream,1,8.5,0.538,0.373,0.999924,100.19,0.82,2.95,gradient,6.8,0
suspension,3,1.2,1.693,0.38,0.999967,100.44,1.75,1.41,isocratic,9.5,1
coated_tablet,2,3.3,1.37,0.621,1.0,100.3,1.44,2.6,isocratic,12.6,0
coated_tablet,2,4.6,1.69,0.636,1.0,99.92,0.8,2.75,isocratic,11.7,0
api_powder,0,4.0,0.86,0.332,0.997877,98.99,1.0,1.69,isocratic,6.9,0
api_powder,1,7.3,0.258,0.386,0.99999,99.74,0.87,2.32,isocratic,9.3,0
api_powder,4,1.2,0.646,0.428,0.999981,99.69,1.09,2.17,gradient,11.4,0
api_powder,1,5.8,0.568,0.399,0.996596,97.89,1.17,2.26,gradient,11.6,1
cream,2,2.8,1.75,1.582,0.992192,98.76,1.01,2.4,isocratic,7.9,1
api_powder,2,6.9,0.519,1.063,0.998541,101.59,0.83,3.15,isocratic,18.3,0
coated_tablet,2,1.0,0.295,0.829,0.999982,101.5,1.86,2.54,isocratic,6.8,0
suspension,0,4.7,1.506,0.552,0.999947,99.92,1.42,1.29,isocratic,11.6,0
suspension,2,3.4,0.699,0.709,0.999963,99.41,1.01,1.47,isocratic,19.1,0
api_powder,0,3.7,1.485,1.061,0.99999,100.2,1.75,1.93,isocratic,5.5,0
suspension,2,4.1,0.945,0.979,0.999959,100.55,0.82,1.59,gradient,12.0,0
coated_tablet,1,8.8,0.744,0.487,0.997101,100.0,2.73,2.68,gradient,19.0,1
suspension,0,5.9,0.757,0.714,0.99999,99.74,0.96,3.21,gradient,8.7,0
api_powder,1,3.4,2.421,0.347,0.999979,99.04,0.8,2.12,gradient,6.6,0
suspension,2,4.3,0.567,0.551,0.999742,99.78,0.87,2.46,isocratic,7.7,0
coated_tablet,2,1.5,1.0,0.21,0.999631,100.52,1.23,2.56,isocratic,13.3,0
cream,2,6.1,1.198,0.447,0.999797,97.83,1.07,1.95,isocratic,18.9,1
api_powder,3,8.0,0.616,1.02,0.99999,99.34,1.42,2.79,isocratic,14.0,0
coated_tablet,2,7.3,0.595,0.382,0.99999,99.34,1.05,2.18,gradient,8.1,0
coated_tablet,1,1.3,1.807,1.328,0.999735,97.98,0.9,2.79,isocratic,9.3,0
coated_tablet,3,7.4,1.692,0.239,0.999759,98.23,1.15,1.93,gradient,13.0,1
suspension,1,7.9,0.722,1.711,0.999805,100.23,1.31,2.28,gradient,10.2,1
suspension,0,7.1,0.426,0.487,0.99999,100.88,0.8,2.14,isocratic,8.9,0
api_powder,2,3.8,0.474,0.717,0.99999,102.22,1.52,2.69,isocratic,15.2,1
cream,3,9.4,1.446,0.474,0.999142,99.98,1.12,2.44,isocratic,5.3,0
api_powder,0,7.8,0.459,0.616,0.99988,100.16,1.28,2.22,isocratic,21.2,0
suspension,4,4.7,0.397,0.489,0.999973,100.38,1.17,2.17,isocratic,8.6,0
coated_tablet,1,1.9,0.668,0.749,0.99999,98.66,1.27,2.33,gradient,18.9,0
coated_tablet,2,3.2,0.794,0.654,0.999983,99.95,1.28,2.59,isocratic,17.1,0
coated_tablet,1,8.5,0.635,0.298,0.99983,100.97,1.21,2.41,gradient,36.9,0
coated_tablet,2,3.0,1.73,0.529,0.998667,100.95,1.15,1.61,isocratic,11.1,0
suspension,2,7.6,6.168,0.815,0.99999,101.98,1.04,2.47,isocratic,20.1,1
suspension,3,2.0,1.957,0.308,0.99999,100.63,1.0,2.19,gradient,4.4,0
api_powder,1,5.7,0.383,1.146,0.999955,98.35,0.92,2.63,isocratic,38.7,0
coated_tablet,2,2.7,14.226,0.225,0.996014,98.6,1.16,2.47,isocratic,7.2,0
coated_tablet,3,2.8,1.444,0.475,0.999911,99.51,1.44,2.21,gradient,9.5,0
cream,1,1.8,0.274,0.821,0.998358,100.53,1.87,2.78,isocratic,13.3,0
coated_tablet,1,6.6,1.644,1.505,0.999686,100.14,1.45,2.0,isocratic,11.0,0
coated_tablet,2,2.5,1.8,0.617,1.0,99.51,1.29,2.44,isocratic,11.7,0
suspension,3,9.4,2.119,1.143,0.99998,101.0,1.37,3.64,isocratic,11.7,1
cream,3,4.3,2.115,0.465,0.99999,99.76,1.55,1.18,gradient,13.8,1
coated_tablet,4,1.1,0.807,1.419,0.999939,101.91,0.95,2.3,isocratic,11.6,0
api_powder,2,3.4,0.87,0.197,1.0,99.6,1.0,3.16,isocratic,13.8,0
api_powder,0,2.2,0.87,0.5,0.999911,99.41,1.23,2.31,isocratic,5.8,0
suspension,2,3.5,0.398,0.221,0.999662,98.27,1.19,2.37,gradient,15.2,0
suspension,1,3.2,1.997,0.483,0.999964,100.77,0.87,3.01,isocratic,15.4,0
suspension,1,5.8,1.682,0.492,0.999025,99.21,1.29,2.31,gradient,13.7,0
cream,4,4.9,1.237,1.274,0.99999,98.92,1.05,1.41,isocratic,10.2,1
cream,4,1.0,1.521,0.574,0.997876,100.36,1.09,2.18,isocratic,10.7,0
coated_tablet,2,4.8,0.452,0.683,0.99999,98.92,1.05,3.09,isocratic,10.2,0
api_powder,1,5.2,2.712,0.283,0.99999,102.87,1.33,2.22,isocratic,10.9,0
coated_tablet,3,8.5,1.239,0.505,0.99999,100.77,1.89,2.62,gradient,11.2,0
coated_tablet,2,8.5,1.377,0.266,0.999853,100.29,1.08,1.97,gradient,6.8,0
coated_tablet,1,4.7,0.811,0.648,0.999943,100.05,1.38,1.93,gradient,25.0,0
coated_tablet,3,1.1,1.121,0.692,0.99999,99.83,1.2,1.8,isocratic,8.5,0
coated_tablet,2,2.7,1.364,1.383,0.999463,98.8,0.98,2.4,gradient,29.6,0
coated_tablet,2,5.2,0.534,1.103,0.999734,102.08,1.16,1.78,gradient,7.9,1
api_powder,4,3.2,0.346,0.279,0.999962,99.05,1.27,2.44,isocratic,10.3,0
api_powder,3,3.9,2.187,0.592,0.999466,100.71,0.96,2.22,gradient,7.5,0
suspension,1,3.9,2.415,0.709,0.999955,100.76,1.81,2.16,gradient,22.9,0
cream,1,7.4,0.726,0.388,0.998456,101.72,1.14,2.17,isocratic,4.9,1
api_powder,2,5.0,0.779,0.643,0.999248,98.73,0.8,2.07,isocratic,18.7,0
suspension,2,8.0,0.809,1.406,0.998682,99.3,1.24,2.18,gradient,10.6,1
cream,3,3.4,0.458,0.737,0.999924,98.7,1.0,2.1,isocratic,6.1,0
coated_tablet,4,4.0,0.884,1.284,0.99971,100.05,1.47,1.49,isocratic,16.0,1
suspension,2,5.7,0.572,0.289,0.99999,99.76,1.18,2.52,isocratic,7.5,0
coated_tablet,3,4.0,1.326,0.578,0.99999,100.1,0.91,2.06,gradient,26.0,0
cream,3,9.9,1.057,0.298,0.999907,100.62,1.26,2.14,isocratic,7.3,0
suspension,4,1.6,0.635,0.212,0.99949,101.47,1.26,1.8,isocratic,7.6,0
cream,3,4.8,0.187,0.092,0.99995,101.09,1.31,2.37,isocratic,34.6,0
coated_tablet,4,4.9,2.707,0.47,0.997194,99.65,0.88,2.44,isocratic,12.6,0
coated_tablet,1,2.2,0.276,0.383,0.999876,99.52,1.33,2.22,isocratic,4.2,0
api_powder,4,1.9,0.608,0.561,0.999889,98.02,0.82,2.83,gradient,16.3,0
coated_tablet,2,2.6,0.343,0.759,0.99999,98.9,0.99,2.14,isocratic,13.8,0
api_powder,2,6.4,0.894,1.724,0.99999,99.33,1.04,3.03,isocratic,11.7,0
coated_tablet,2,2.1,1.87,0.728,0.997474,99.7,0.96,2.25,isocratic,6.5,0
coated_tablet,0,6.7,2.894,1.138,0.999869,100.17,1.2,2.71,gradient,3.0,0
suspension,3,9.5,1.302,0.614,0.997549,98.93,1.01,2.69,gradient,5.6,1
coated_tablet,0,3.5,0.302,1.111,0.99999,100.77,0.8,2.94,isocratic,12.1,0
coated_tablet,0,7.5,1.738,0.218,0.999942,100.16,1.17,2.2,gradient,30.0,0
api_powder,0,1.4,1.51,0.368,0.997758,100.8,1.16,2.6,isocratic,4.7,0
api_powder,0,7.9,0.746,2.04,0.999913,102.07,1.22,1.64,isocratic,13.3,1
coated_tablet,1,6.1,2.17,1.737,0.999805,100.91,1.55,1.99,gradient,9.0,1
cream,3,3.4,0.85,1.187,0.997766,99.91,0.8,2.37,isocratic,11.4,0
suspension,3,8.2,1.135,1.116,0.999633,100.1,1.43,2.31,gradient,14.9,1
suspension,2,9.6,2.751,0.898,0.99961,98.98,1.41,2.13,isocratic,15.9,0
suspension,3,4.1,0.276,0.51,0.99999,100.92,0.8,2.13,isocratic,12.4,0
coated_tablet,3,4.2,0.723,0.192,0.999962,100.28,0.94,1.81,isocratic,3.4,0
cream,2,8.4,0.364,0.263,0.999501,102.03,0.8,2.4,gradient,10.4,1
suspension,1,7.9,0.965,0.792,0.99999,102.02,0.99,1.5,gradient,7.8,1
suspension,1,4.7,1.751,0.351,0.999959,101.55,1.29,3.11,gradient,12.8,1
coated_tablet,1,3.3,1.21,0.774,1.0,100.12,1.05,2.69,isocratic,8.8,0
suspension,3,5.8,2.011,0.817,0.99999,99.25,1.43,2.28,gradient,7.6,0
coated_tablet,2,7.0,0.593,0.727,0.999049,100.01,1.13,1.86,isocratic,13.9,0
cream,4,3.3,1.58,1.025,0.992305,99.5,1.03,1.65,isocratic,14.8,1
suspension,4,7.1,1.164,0.635,0.999379,99.57,0.94,1.9,isocratic,12.6,1
suspension,2,6.9,1.513,0.324,0.99999,99.94,0.96,1.95,gradient,10.0,0
coated_tablet,4,6.9,1.304,0.491,0.999562,99.99,1.24,3.39,isocratic,4.7,0
api_powder,2,2.9,1.118,0.618,0.998656,98.76,0.83,1.52,isocratic,17.2,0
cream,4,2.1,2.709,0.615,0.999962,98.94,0.9,2.36,isocratic,12.4,0
coated_tablet,3,1.8,0.733,0.463,0.999946,99.14,0.93,3.02,isocratic,5.6,0
api_powder,1,9.3,0.297,0.505,0.99999,100.58,0.93,2.27,isocratic,9.1,0
suspension,0,3.9,0.984,0.196,0.999973,97.0,1.09,2.62,isocratic,7.0,1
coated_tablet,1,4.1,0.456,0.302,0.999878,102.87,1.28,1.96,gradient,14.8,1
api_powder,1,6.0,2.932,0.781,0.999985,98.95,1.24,2.75,isocratic,10.6,0
coated_tablet,2,4.6,0.52,0.378,1.0,99.82,1.2,2.85,isocratic,8.3,0
api_powder,2,2.4,1.7,0.857,0.999923,99.52,1.12,3.04,isocratic,14.4,0
cream,4,2.2,0.28,0.207,0.99999,99.76,1.09,1.27,isocratic,13.8,1
api_powder,2,7.6,0.849,0.976,0.99986,99.43,1.05,2.16,gradient,7.5,0
coated_tablet,0,6.8,1.466,0.555,0.997776,99.07,1.5,1.96,gradient,17.8,0
coated_tablet,2,7.7,0.904,1.036,0.999767,101.39,1.22,2.69,isocratic,6.9,0
coated_tablet,1,7.4,3.394,0.309,0.99999,97.49,1.22,2.37,gradient,10.9,1
suspension,0,4.3,1.114,0.294,0.999952,100.58,1.39,2.12,gradient,11.7,0
cream,0,1.8,10.405,1.602,0.998835,98.32,1.42,2.41,gradient,11.8,1
coated_tablet,0,3.1,0.65,0.56,0.999004,100.54,1.26,2.77,isocratic,8.1,0
api_powder,3,1.2,2.421,0.344,0.999717,101.34,1.11,2.13,isocratic,10.2,0
coated_tablet,1,7.1,1.065,0.829,0.998777,98.74,0.8,2.43,isocratic,13.4,0
coated_tablet,0,9.4,1.612,1.123,0.999428,98.0,1.25,2.19,isocratic,13.1,0
suspension,2,9.8,2.813,1.578,0.999822,99.23,0.86,2.8,gradient,17.1,1
api_powder,4,1.7,1.523,0.567,0.999943,100.42,0.8,2.43,gradient,9.3,0
coated_tablet,1,4.2,2.079,0.615,0.999748,101.15,1.16,2.52,isocratic,12.3,0
coated_tablet,0,2.2,0.88,0.05,1.0,98.9,1.44,2.57,isocratic,13.0,0
cream,2,9.3,1.213,0.591,0.999337,99.98,1.39,2.89,gradient,23.4,1
coated_tablet,1,8.3,2.01,0.454,0.999423,99.62,0.8,2.53,isocratic,14.3,0
api_powder,1,2.6,0.855,2.573,0.99999,101.42,1.22,2.32,isocratic,23.9,0
coated_tablet,1,2.8,0.561,0.182,0.997824,100.72,0.9,1.5,isocratic,11.1,0
coated_tablet,0,2.5,1.498,0.476,0.998903,96.57,1.05,2.89,gradient,8.2,1
cream,2,2.7,1.21,1.421,0.991676,99.42,1.07,2.39,isocratic,15.6,0
coated_tablet,1,7.7,0.564,0.553,0.999969,99.82,1.25,1.78,isocratic,3.9,0
coated_tablet,1,8.7,0.579,0.806,0.999823,100.63,0.84,2.58,isocratic,10.4,0
cream,3,9.3,3.268,0.57,0.999982,99.82,1.73,2.82,isocratic,18.2,1
suspension,3,6.3,0.383,0.268,0.99999,100.29,0.91,2.15,gradient,9.0,0
suspension,1,7.6,2.695,0.457,0.999766,98.68,1.79,2.56,isocratic,15.2,0
coated_tablet,0,1.5,1.01,0.304,0.999851,100.69,2.0,2.36,gradient,11.6,0
coated_tablet,1,5.1,0.38,0.918,0.998927,98.54,0.95,2.93,gradient,17.4,0
suspension,2,4.2,0.508,1.242,0.999379,101.04,1.42,1.75,isocratic,6.4,0
api_powder,0,4.2,1.87,0.505,0.996308,100.1,1.28,2.7,isocratic,7.4,0
suspension,2,8.1,0.35,0.906,0.999982,98.13,1.05,2.72,gradient,10.2,1
coated_tablet,2,2.5,0.759,0.637,0.999865,99.94,1.05,1.83,gradient,6.6,0
coated_tablet,2,3.6,2.295,1.388,0.998087,100.19,0.92,1.89,gradient,10.3,0
api_powder,2,4.4,0.57,0.531,1.0,100.59,1.23,2.19,isocratic,6.7,0
coated_tablet,2,2.5,0.54,0.219,0.996159,99.57,1.14,1.66,isocratic,8.4,0
api_powder,1,2.1,2.754,0.235,0.99999,100.08,0.85,2.06,gradient,8.1,0
suspension,1,3.2,1.494,0.594,0.999982,99.69,1.52,1.86,gradient,12.9,0
api_powder,1,4.4,1.373,1.034,0.999238,97.25,1.25,3.06,isocratic,6.5,1
coated_tablet,2,6.0,1.382,0.514,0.99999,100.08,1.45,2.82,isocratic,14.7,0
coated_tablet,3,2.2,0.898,0.456,0.99999,100.15,1.04,2.29,gradient,13.6,0
coated_tablet,2,5.0,1.97,0.764,1.0,100.6,0.85,2.41,isocratic,5.1,0
suspension,1,7.6,0.682,0.558,0.99999,100.54,1.41,2.2,isocratic,8.2,0
suspension,2,3.2,0.592,0.687,0.999982,100.37,0.8,1.8,gradient,17.6,0
suspension,4,8.6,1.37,1.266,0.999312,101.55,1.56,1.87,isocratic,13.0,1
suspension,3,8.5,3.027,0.441,0.999348,100.5,1.4,2.26,isocratic,26.1,0
suspension,1,9.5,0.474,0.835,0.999987,101.46,1.31,1.69,isocratic,25.9,0
coated_tablet,1,8.5,0.789,0.815,0.997896,99.2,0.8,2.65,isocratic,10.9,0
coated_tablet,2,8.5,0.732,0.765,0.999988,100.48,1.04,2.09,isocratic,10.9,0
suspension,2,5.8,0.71,0.504,0.99999,100.93,1.92,1.54,gradient,9.1,1
suspension,2,7.1,1.215,0.876,0.999918,101.37,0.8,1.56,gradient,12.5,1
coated_tablet,3,2.9,1.446,0.468,0.999972,98.82,1.0,1.73,gradient,12.0,0
cream,3,3.0,7.572,0.303,0.999914,100.61,1.25,2.79,gradient,6.9,0
suspension,0,4.9,2.31,0.306,0.99999,98.72,1.3,3.53,gradient,23.7,0
cream,1,9.7,1.872,0.287,0.999123,99.81,0.95,2.72,gradient,16.8,0
coated_tablet,0,2.9,0.56,0.76,0.996894,100.62,1.36,2.61,isocratic,4.4,0
api_powder,1,5.6,0.935,0.471,0.99973,98.36,0.8,3.48,isocratic,8.0,0
coated_tablet,1,4.0,1.73,0.217,1.0,99.52,1.16,2.45,isocratic,13.5,0
suspension,2,5.7,1.202,0.575,0.999795,98.49,1.35,1.73,isocratic,6.4,1
coated_tablet,1,3.2,2.141,0.221,0.997658,100.6,1.27,2.03,isocratic,12.1,0
cream,3,2.3,0.63,0.821,0.993834,98.13,0.89,2.29,isocratic,12.5,1
suspension,4,8.4,3.708,1.093,0.997706,100.95,1.48,2.4,isocratic,18.1,0
suspension,2,2.6,0.883,0.226,0.99988,97.99,0.97,1.96,gradient,15.4,1
coated_tablet,3,8.4,1.137,0.31,0.999462,100.22,1.02,1.91,isocratic,6.6,0
suspension,4,6.9,0.973,0.296,0.999807,101.64,1.5,3.31,isocratic,21.8,0
coated_tablet,0,1.8,0.378,0.497,0.999565,101.29,1.28,2.09,gradient,20.0,0
api_powder,2,4.8,4.023,0.626,0.99999,99.96,0.82,2.87,isocratic,23.0,0
cream,1,8.3,1.517,1.024,0.99999,101.49,0.8,1.61,gradient,14.9,1
coated_tablet,2,7.9,0.977,0.346,0.999904,99.88,1.22,1.9,gradient,17.4,0
api_powder,1,3.2,0.184,0.742,0.999865,100.06,1.21,1.94,gradient,10.2,0
coated_tablet,4,6.8,1.037,0.229,0.999707,98.84,0.9,2.06,isocratic,23.6,0
api_powder,2,3.7,1.48,0.702,0.999958,100.07,1.01,2.43,isocratic,10.6,0
suspension,2,1.5,0.681,0.681,0.99999,99.61,1.35,3.06,isocratic,36.9,0
suspension,2,4.2,1.087,1.181,0.998446,100.41,0.8,2.7,isocratic,6.6,0
cream,3,6.3,0.905,0.487,0.99994,101.39,1.37,2.62,isocratic,8.7,0
coated_tablet,0,3.1,0.339,0.61,0.999924,98.71,1.06,2.42,isocratic,12.6,0
suspension,4,4.4,2.946,0.413,0.999951,100.82,0.99,1.5,isocratic,10.7,0
suspension,1,8.9,0.826,0.375,0.999394,99.58,0.8,2.0,isocratic,9.5,0
coated_tablet,2,1.3,1.64,0.05,0.996992,100.65,0.99,2.22,isocratic,9.5,0
suspension,3,5.6,1.404,1.569,0.998633,100.58,1.12,2.58,gradient,36.8,1
suspension,1,3.9,1.248,0.74,0.99999,98.91,1.05,2.3,isocratic,9.5,0
api_powder,2,7.4,0.576,0.41,0.998789,100.82,1.34,2.76,isocratic,13.7,0
coated_tablet,2,7.0,0.767,0.687,0.999966,98.55,1.06,2.82,isocratic,23.9,0
cream,1,8.5,0.375,1.726,0.999583,100.66,0.97,2.14,gradient,11.1,1
coated_tablet,2,1.5,0.227,0.828,0.99931,101.92,0.84,1.79,isocratic,8.0,0
coated_tablet,1,7.8,0.655,0.605,0.999879,100.94,0.86,1.71,isocratic,9.2,0
suspension,1,6.2,0.781,2.016,0.99999,101.31,1.67,3.35,gradient,26.3,1
suspension,1,6.6,0.57,0.834,0.99999,99.85,1.26,2.37,isocratic,10.1,0
coated_tablet,2,1.3,1.79,0.55,0.998092,100.12,1.05,2.14,isocratic,3.0,0
suspension,2,7.7,0.9,0.656,0.999771,101.55,0.84,2.37,isocratic,22.0,1
suspension,3,5.0,0.13,0.645,0.999204,100.65,1.39,1.76,gradient,4.1,0
coated_tablet,2,3.9,1.491,0.678,0.999979,100.16,1.01,2.39,gradient,3.6,0
suspension,0,9.3,2.415,0.766,0.99999,100.37,0.98,1.8,gradient,9.0,0
coated_tablet,2,2.2,1.34,0.554,1.0,100.83,1.16,2.32,isocratic,13.4,0
api_powder,1,4.8,0.321,1.545,0.99997,99.86,1.57,2.24,isocratic,7.3,0
coated_tablet,1,6.5,0.389,2.264,0.996895,101.02,0.82,2.61,isocratic,22.8,1
coated_tablet,1,2.6,2.211,0.836,0.99999,100.36,0.86,1.99,isocratic,14.1,0
coated_tablet,0,8.6,0.327,0.884,0.999984,98.73,0.8,2.72,isocratic,8.7,0
api_powder,1,3.3,0.249,0.344,0.999616,101.94,1.2,2.9,gradient,7.8,0
cream,3,5.1,0.357,0.706,0.999909,99.27,1.61,1.7,isocratic,11.3,1
api_powder,2,5.4,0.435,0.385,0.999988,98.98,0.96,2.49,gradient,16.2,0
api_powder,2,9.8,0.301,0.954,0.999981,101.09,0.87,1.77,gradient,23.8,0
suspension,4,1.9,0.431,0.702,0.999399,99.34,1.93,2.54,gradient,7.2,1
suspension,2,1.9,2.048,0.877,0.999881,100.61,1.18,2.08,isocratic,14.5,0
suspension,2,1.2,0.55,0.405,0.999961,100.97,0.94,1.69,gradient,5.2,0
coated_tablet,1,1.5,0.64,0.554,0.998887,100.39,1.23,2.01,isocratic,14.3,0
suspension,3,7.4,1.341,0.714,0.999828,100.34,1.77,2.42,isocratic,20.5,1
api_powder,0,2.3,1.9,0.864,0.997504,99.62,1.25,3.51,isocratic,14.4,0
api_powder,1,9.6,1.363,0.553,0.999511,99.75,0.8,1.04,isocratic,8.3,1
cream,0,8.7,0.664,0.994,0.999442,101.18,1.24,2.31,gradient,10.6,0
coated_tablet,1,4.7,2.288,0.739,0.999951,101.17,1.14,2.55,isocratic,22.7,0
cream,1,1.7,1.919,0.846,0.999849,99.81,0.8,2.03,gradient,22.5,0
api_powder,0,3.4,0.68,0.05,0.998413,101.01,1.24,2.28,isocratic,11.4,0
api_powder,3,2.9,1.251,0.471,0.99999,99.64,1.42,2.49,isocratic,9.5,0
coated_tablet,0,3.2,1.55,0.676,0.997856,100.88,1.35,2.58,isocratic,12.3,0
suspension,0,6.2,1.045,0.52,0.999895,100.93,1.01,3.46,isocratic,17.7,0
suspension,2,5.5,1.007,0.841,0.999968,99.64,2.02,2.6,isocratic,34.6,1
api_powder,4,9.7,0.886,0.65,0.999302,99.63,0.97,2.86,isocratic,9.1,0
coated_tablet,2,1.1,0.762,0.231,0.999829,99.52,0.88,1.1,gradient,11.9,0
coated_tablet,2,1.1,1.56,0.735,0.999515,100.07,1.08,2.14,isocratic,5.6,0
coated_tablet,2,3.3,0.996,1.03,0.999985,99.66,0.99,1.63,gradient,22.0,0
api_powder,0,4.8,1.95,0.75,0.999412,99.64,1.01,2.28,isocratic,15.2,0
api_powder,0,2.1,0.606,0.768,0.999729,98.82,1.27,1.9,gradient,8.8,0
suspension,1,2.2,0.856,0.306,0.999915,99.83,0.9,2.23,isocratic,7.2,0
coated_tablet,2,7.5,2.067,0.546,0.999946,100.91,1.22,2.85,isocratic,5.3,0
coated_tablet,1,6.0,0.99,2.297,0.99999,100.03,1.42,2.7,gradient,8.1,1
coated_tablet,0,7.9,0.781,0.824,0.999265,99.69,1.05,1.61,isocratic,21.3,0
coated_tablet,1,1.8,1.79,0.998,0.999825,100.29,1.42,3.17,isocratic,13.4,0
suspension,1,9.3,0.62,0.61,0.99999,100.01,1.0,2.45,isocratic,4.0,0
api_powder,2,3.7,1.83,0.584,0.999383,101.51,1.21,2.57,gradient,23.3,0
coated_tablet,1,1.6,1.078,0.411,0.999509,99.22,1.42,1.2,isocratic,9.6,0
suspension,3,3.5,0.988,0.797,0.99998,99.34,0.91,2.05,isocratic,5.8,0
cream,0,2.2,0.545,0.42,0.99999,101.05,1.31,2.49,isocratic,17.5,0
coated_tablet,1,6.9,0.705,0.912,0.999835,99.86,1.0,1.97,isocratic,17.1,0
suspension,1,9.8,1.403,0.383,0.999905,99.3,0.98,2.6,isocratic,13.8,0
coated_tablet,2,7.7,4.794,0.872,0.99999,100.39,1.15,1.73,gradient,17.1,0
cream,3,4.2,1.0,1.497,0.991304,99.02,1.13,2.73,isocratic,9.7,1
coated_tablet,2,8.3,1.542,1.744,0.999945,100.94,0.8,1.89,isocratic,10.8,1
coated_tablet,2,2.3,1.42,0.912,0.998566,100.64,1.62,2.36,isocratic,8.7,0
coated_tablet,1,7.1,1.322,1.202,0.99982,99.75,1.06,2.35,gradient,27.1,0
coated_tablet,0,6.8,2.534,0.915,0.998496,98.79,1.88,1.62,isocratic,11.1,0
cream,1,5.4,0.776,1.499,0.999877,99.09,1.46,1.38,isocratic,7.4,1
suspension,2,5.3,2.441,1.421,0.999143,99.42,1.38,3.13,isocratic,4.7,0
cream,3,8.8,0.207,0.499,0.999464,101.22,1.9,2.46,isocratic,11.0,1
coated_tablet,4,1.6,1.233,0.565,0.99999,100.92,1.35,2.61,gradient,11.4,0
coated_tablet,4,2.0,1.698,0.656,0.999981,99.8,0.81,2.99,gradient,28.5,0
cream,4,7.7,3.509,1.685,0.99969,100.72,0.97,2.77,gradient,10.4,1
cream,2,2.0,0.457,0.116,0.99999,99.82,1.44,1.99,isocratic,13.5,0
suspension,1,7.1,0.773,0.475,0.99999,99.78,1.27,2.42,gradient,4.3,1
cream,1,1.7,0.318,3.02,0.99999,100.91,1.3,1.44,isocratic,12.3,1
api_powder,2,6.6,4.575,1.206,0.997788,100.69,1.1,3.01,gradient,21.7,0
suspension,1,4.9,2.388,0.481,0.999967,101.13,1.16,2.07,gradient,9.8,0
coated_tablet,0,3.8,1.99,0.296,0.999101,99.72,1.19,2.65,isocratic,9.8,0
coated_tablet,2,3.0,1.594,0.473,0.999552,99.36,1.11,2.55,isocratic,17.2,0
suspension,0,9.7,0.621,0.316,0.998766,99.98,0.88,2.69,isocratic,15.1,0
coated_tablet,4,9.2,1.25,0.933,0.99999,102.22,1.17,2.38,isocratic,6.7,1
suspension,1,5.5,1.563,0.826,0.99999,101.55,1.25,2.75,isocratic,7.8,0
suspension,4,2.8,0.397,0.652,0.999447,101.27,0.91,1.83,isocratic,11.2,0
api_powder,2,9.7,2.923,0.2,0.999849,100.12,1.05,2.95,gradient,3.3,0
cream,2,8.3,0.542,0.482,0.99999,99.2,0.88,1.71,gradient,20.4,1
cream,1,6.1,2.552,0.326,0.99999,99.19,1.2,2.42,isocratic,15.4,0
api_powder,2,9.2,2.116,0.758,0.99999,99.46,0.8,2.39,isocratic,4.5,0
cream,3,7.0,1.815,0.826,0.999549,100.56,1.58,2.26,isocratic,11.0,0
suspension,1,6.6,1.114,0.475,0.999829,101.72,1.58,1.85,isocratic,10.0,1
cream,0,6.5,1.258,0.6,0.999939,99.47,0.88,1.58,isocratic,7.7,0
cream,2,6.9,0.85,0.549,0.99915,99.12,1.14,2.57,gradient,15.9,0
